Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nepal,35.8,36.3,37.9,35.4,37.6,37.0,39.3,39.8,39.5,42.6,42.3,47.5,51.4,64.7,85.4,103,131,159,157,170,187,210,255,285,257,281,328,319,319
Pakistan,2722,2580,2810,3067,3389,3309,3321,3666,3548,3320,3219,3081,2973,2842,3273,3723,4128,4587,4969,5343,5227,5275,5975,6955,7479,7645,8655,9483,10063
Sri Lanka,165,126,187,277,327,355,437,764,767,699,733,631,822,675,572,542,619,644,791,1055,1511,1522,1532,1752,1475,1601,1915,2057,1986
Brunei,178,186,231,245,252,234,262,286,328,369,294,258,244,218,226,243,199,249,293,323,362,350,391,415,411,412,528,424,403
Cambodia,0.0,0.0,29.1,43.3,62.3,44.6,107,123,114,103,83.3,88.2,81.0,70.8,65.2,67.5,69.2,71.0,75.9,79.0,82.6,137,168,192,217,243,278,381.3,370
Indonesia,1357,1410,1614,1697,1888,1933,2240,2479,2875,3231,973,1135,1130,919,1370,2135,2429,2146,2612,3349,3232,3304,4663,5838,6531,8384,6929,7639,8183
Laos,0.0,0.0,0.0,0.0,102,108,116,104,78.4,67.1,33.4,15.4,13.7,12.6,11.4,11.0,11.5,12.0,13.4,14.8,16.3,14.0,15.4,19.0,20.3,22.7,0.0,0.0,0
Malaysia,856,1019,1125,1572,1767,1923,2121,2444,2421,2089,1159,1663,1533,1934,2238,2882,2823,3120,3266,3971,4412,3965,3854,4692,4507,4916,4919,4532,4169
Myanmar,255,550,814,943,1370,2062,2802,3932,4675,4781,5873,6950,9031,9464,11000,24189,29854,32954,0,0,0,0,0,0,2969,2367,2373,2552,0
Philippines,932,955,951,913,1079,1173,1392,1700,1879,1576,1226,1341,1303,1122,1199,1301,1243,1373,1607,2014,2271,2116,2438,2701,2899,3377,3103,3336,3899
Singapore,1206,1410,1802,2023,2332,2481,2797,3673,4100,4457,4466,4493,4331,4309,4528,4724,5043,5464,5831,6519,7454,7538,8109,8922,9172,9346,9597,9394,9959
Thailand,1809,1940,2214,2598,2962,3156,3611,3849,3938,3265,2110,2057,1881,1725,1813,1892,1867,1984,2442,3523,4466,4800,4962,5513,5492,5901,5730,5733,5880
Timor Leste,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.0,0.0,0.0,8.2,17.1,23.7,23.7,36.5,26.4,20.5,33.4,31.7,29.6,37.0,26.2
Viet Nam,1306,459,512,428,333,298,431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842,915,1026,1287,1784,2138,2401,2672,2687,3361,3727,4256,4563,5017
Australia,5836,6300,6704,7024,6882,6734,7460,7666,8203,7937,7108,7770,7274,7043,7947,9927,11995,13238,14240,17186,18633,18960,23218,26597,26217,24825,25784,24040,24617
Fiji,24.7,29.1,30.5,32.5,30.5,32.0,33.7,34.7,32.9,31.0,22.6,23.8,32.0,32.8,30.9,37.3,46.8,43.1,54.1,75.6,53.6,51.3,50.4,60.8,59.2,58.1,46.1,47.2,45.2
New Zealand,962,960,1058,989,870,867,980,1146,1238,1181,969,970,858,797,866,1133,1285,1390,1464,1714,1661,1623,1931,2080,2095,2134,2274,1944,2093
Papua New Guinea,46.3,53.1,68.7,52.6,58.6,68.6,83.3,56.4,78.7,79.6,49.7,35.7,33.6,25.2,17.0,19.3,24.4,30.5,31.3,39.3,39.3,52.0,46.3,64.2,111,105,112,100,81.9
Albania,0.0,0,0,0,31.6,39.3,49.6,50.9,45.7,29.8,33.6,42.8,45.4,53.2,58.6,76.1,101,110,141,195,256,183,186,197,183,180,178,132,147
Bosnia-Herzegovina,xxx,xxx,xxx,xxx,0,0,0,0,0,0,0,0,0,0,241,202,200,173,178,195,233,242,220,212,197,198,190,162,164
Bulgaria,0,2071,795,232,256,283,242,311,214,244,320,357,351,406,456,569,651,699,751,1032,1038,963,893,829,808,900,836,661,756
Croatia,xxx,xxx,xxx,xxx,782,1169,1625,2060,1939,1797,1427,1036,660,629,734,709,731,799,849,979,1296,1129,1016,1106,955,957,907,753,695
Czech Rep.,xxx,xxx,xxx,xxx,xxx,816,938,1065,1124,988,1166,1206,1157,1183,1494,1886,2042,2440,2450,2708,2919,2719,2498,2474,2146,2083,1882,1763,1955
Czechoslovakia,0,0,2334,0,0,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,xxx,xxx,xxx,xxx,0.0,13.1,25.1,36.3,41.4,53.0,59.9,73.8,78.3,93.8,122,171,205,266,315,444,506,434,332,389,437,479,512,469,502
German DR,0,0,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,1028,813,847,723,812,736,757,612,585,696,618,703,716,845,1079,1402,1533,1596,1410,1776,1868,1476,1351,1472,1322,1280,1210,1131,1254
Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.9,27.2,38.6,51.0,43.4,48.6,53.6,50.0,51.9
Latvia,xxx,xxx,xxx,xxx,0.0,17.7,33.9,43.6,38.2,38.0,42.2,56.6,70.0,87.0,147,189,229,273,368,481,582,364,260,297,256,284,296,283,407
Lithuania,xxx,xxx,xxx,xxx,0.0,21,21.1,30.5,42.3,75.6,138,106,140,167,181,211,271,304,352,442,541,405,326,345,329,355,427,471,636
"Macedonia, FYR",xxx,xxx,xxx,xxx,0.0,0.0,0.0,0.0,131,83.3,79.0,66.2,69.8,226,106,116,135,127,126,163,173,159,130,132,119,127,123,106,106
